Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?url=https://hemocentrosunidos.org.br/,15872,0,2,1.858059041105726,1.4577999972971156,10.976800000207732,2851.0,53.05119916202876,0.0,2,2,2,2,2,2,3,3,4,10,11
GET,/?url=https://luccabarroso.com.br/,15872,0,2,1.8608732799855665,1.4632999991590623,15.957300001900876,2841.0,53.05119916202876,0.0,2,2,2,2,2,2,3,3,4,10,16
GET,/?url=https://luccabarroso.com.br/pt/animations,15872,0,2,1.8599685924975746,1.4726999979757238,17.094300001190277,2867.0,53.05119916202876,0.0,2,2,2,2,2,2,3,3,4,15,17
GET,/?url=https://www.apple.com/br/,15872,0,2,1.8585548954080324,1.4449000009335577,20.425999999133637,2835.0,53.05119916202876,0.0,2,2,2,2,2,2,3,3,4,16,20
GET,/?url=https://www.baratocoletivo.com.br/,15872,0,2,1.861655569545321,1.4707999980601016,10.419099999126047,2853.0,53.05119916202876,0.0,2,2,2,2,2,2,3,3,5,9,10
GET,/?url=https://www.bbc.com/portuguese,15872,0,2,1.8604371156726986,1.4661999994132202,11.77780000216444,2845.0,53.05119916202876,0.0,2,2,2,2,2,2,3,3,4,11,12
GET,/?url=https://www.cnnbrasil.com.br/,15872,0,2,1.8554867817504184,1.4598999987356365,14.869499998894753,2843.0,53.05119916202876,0.0,2,2,2,2,2,2,3,3,4,10,15
GET,/?url=https://www.fontshare.com/,15872,0,2,1.8573724168401524,1.4569999984814785,12.574399999721209,2837.0,53.05119916202876,0.0,2,2,2,2,2,2,3,3,4,11,13
GET,/?url=https://www.unifor.br/,15872,0,2,1.8467904233718873,1.445199999579927,11.72489999953541,2829.0,53.05119916202876,0.0,2,2,2,2,2,2,3,3,4,12,12
GET,/?url=https://www.youtube.com/,15872,0,2,1.856119178437292,1.453699998819502,16.973499998130137,2833.0,53.05119916202876,0.0,2,2,2,2,2,2,3,3,4,13,17
,Aggregated,158720,0,2,1.8575317294614673,1.4449000009335577,20.425999999133637,2843.4,530.5119916202876,0.0,2,2,2,2,2,2,3,3,4,11,20
